time_diff_sec,sender_txn_count,receiver_txn_count,sender_avg_rating,receiver_avg_rating,unique_receivers,anomaly_score,is_anomaly,pca_1,pca_2,is_anomaly_svm,is_fraud
0.0,1,1,1.0,1.0,1.0,1,0,-0.4789907387920998,-0.3544849090196681,0,0
467502.809139967,2,1,2.5,4.0,2.0,1,0,-0.8906518877080943,0.8258801769565964,0,0
956310.232120037,3,1,2.0,1.0,3.0,1,0,-0.5740168556798534,-0.0323420085987983,0,0
83480.580739975,4,1,1.75,1.0,4.0,1,0,-0.516221592849465,-0.1096058463418774,0,0
218802.767699957,5,1,3.2,9.0,5.0,1,0,-1.3387948738765416,2.250865492722229,0,0
83527.934350014,6,1,3.0,2.0,6.0,1,0,-0.707916658797577,0.5180746441933675,0,0
38165.980269909,7,1,3.0,3.0,7.0,1,0,-0.7757104705664063,0.7635617088994995,0,0
414335.615120172,8,1,2.875,2.0,8.0,1,0,-0.6676946890154158,0.4962342628411964,0,0
691125.904809952,9,1,2.6666666666666665,1.0,9.0,1,0,-0.5488004838280862,0.2029146722114559,0,0
760803.499959946,10,1,2.6,2.0,10.0,1,0,-0.6110457374774637,0.4294853955138555,0,0
524042.438329935,11,1,2.4545454545454546,1.0,11.0,1,0,-0.4908176720012038,0.1500985686986294,0,0
98035.857040167,12,1,2.333333333333333,1.0,12.0,1,0,-0.454588849296848,0.1158341954772413,0,0
170299.824249982,13,1,2.230769230769231,1.0,13.0,1,0,-0.4285123968478895,0.0919800365592447,0,0
334114.534629822,14,1,2.2142857142857144,2.0,14.0,1,0,-0.4978645844220066,0.3345340872380306,0,0
898353.866260052,15,1,2.1333333333333333,1.0,15.0,1,0,-0.3977963848971065,0.0822533368249866,0,0
181831.756850004,16,1,2.0625,1.0,16.0,1,0,-0.3624597706849639,0.0603190946850997,0,0
1348228.977540016,17,1,2.0,1.0,17.0,1,0,-0.3585781730200572,0.0590586653731808,0,0
117240.651129961,18,1,2.333333333333333,8.0,18.0,1,0,-0.9504475223590144,1.8312347629580563,0,0
1871.493950129,19,1,2.3157894736842106,2.0,19.0,1,0,-0.4245538759623165,0.3931117023111624,0,0
26455.985509872,20,1,2.5,6.0,20.0,1,0,-0.7670819455498116,1.413609159720964,0,0
716145.997150183,21,1,2.4285714285714284,1.0,21.0,1,0,-0.3326202850079585,0.2067345786180602,0,0
253476.003739834,22,1,2.363636363636364,1.0,22.0,1,0,-0.3020553688015846,0.189021878318538,0,0
162570.793950081,23,1,2.3043478260869565,1.0,23.0,1,0,-0.2781459067606776,0.1765929753997943,0,0
272029.846400022,24,1,2.2916666666666665,2.0,24.0,1,0,-0.3470396553046423,0.4197647026312018,0,0
