time_diff_sec,sender_txn_count,receiver_txn_count,sender_avg_rating,receiver_avg_rating,unique_receivers,svm_score,is_anomaly_svm,pca1_svm,pca2_svm
0.0,1,1,1.0,1.0,1.0,1,0,-0.47899073879209986,-0.3544849090196681
467502.809139967,2,1,2.5,4.0,2.0,1,0,-0.8906518877080943,0.8258801769565964
956310.232120037,3,1,2.0,1.0,3.0,1,0,-0.5740168556798534,-0.032342008598798384
83480.580739975,4,1,1.75,1.0,4.0,1,0,-0.516221592849465,-0.10960584634187748
218802.767699957,5,1,3.2,9.0,5.0,1,0,-1.3387948738765416,2.250865492722229
83527.934350014,6,1,3.0,2.0,6.0,1,0,-0.707916658797577,0.5180746441933675
38165.980269909,7,1,3.0,3.0,7.0,1,0,-0.7757104705664063,0.7635617088994995
414335.615120172,8,1,2.875,2.0,8.0,1,0,-0.6676946890154158,0.4962342628411964
691125.904809952,9,1,2.6666666666666665,1.0,9.0,1,0,-0.5488004838280862,0.2029146722114559
760803.499959946,10,1,2.6,2.0,10.0,1,0,-0.6110457374774637,0.42948539551385556
524042.438329935,11,1,2.4545454545454546,1.0,11.0,1,0,-0.49081767200120385,0.1500985686986294
98035.857040167,12,1,2.333333333333333,1.0,12.0,1,0,-0.45458884929684806,0.11583419547724136
170299.824249982,13,1,2.230769230769231,1.0,13.0,1,0,-0.42851239684788955,0.09198003655924472
334114.534629822,14,1,2.2142857142857144,2.0,14.0,1,0,-0.4978645844220066,0.3345340872380306
898353.866260052,15,1,2.1333333333333333,1.0,15.0,1,0,-0.3977963848971065,0.08225333682498667
181831.756850004,16,1,2.0625,1.0,16.0,1,0,-0.36245977068496393,0.06031909468509975
1348228.977540016,17,1,2.0,1.0,17.0,1,0,-0.3585781730200572,0.05905866537318086
117240.651129961,18,1,2.333333333333333,8.0,18.0,1,0,-0.9504475223590145,1.8312347629580565
1871.493950129,19,1,2.3157894736842106,2.0,19.0,1,0,-0.42455387596231653,0.3931117023111624
26455.985509872,20,1,2.5,6.0,20.0,1,0,-0.7670819455498116,1.4136091597209641
716145.997150183,21,1,2.4285714285714284,1.0,21.0,1,0,-0.3326202850079585,0.20673457861806022
253476.003739834,22,1,2.363636363636364,1.0,22.0,1,0,-0.3020553688015846,0.189021878318538
162570.793950081,23,1,2.3043478260869565,1.0,23.0,1,0,-0.27814590676067763,0.17659297539979435
272029.846400022,24,1,2.2916666666666665,2.0,24.0,1,0,-0.3470396553046423,0.41976470263120186
400.742439985,25,1,2.28,2.0,25.0,1,0,-0.3254958989618052,0.4198972685909738
204961.93686986,26,1,2.5384615384615383,9.0,26.0,1,0,-0.9323140311039881,2.1834353780179305
220053.803310156,27,1,2.4814814814814814,1.0,27.0,1,0,-0.23540678215340083,0.25539206837037404
